millis,rssi,label
5598439,-63,idle
5601430,-64,idle
5604421,-62,idle
5607411,-61,idle
5610402,-64,idle
5613392,-65,idle
5616383,-65,idle
5619373,-64,idle
5622364,-65,idle
5625354,-62,idle
5628345,-61,idle
5631335,-62,idle
5634326,-63,idle
5637116,-63,idle
5640107,-65,idle
5643097,-64,idle
5646088,-70,idle
5649078,-71,idle
5652069,-67,idle
5655060,-69,idle
5658050,-62,idle
5661041,-67,idle
5664031,-65,idle
5667022,-64,idle
5670013,-67,idle
5673003,-64,idle
5675994,-64,idle
5678984,-64,idle
5681975,-63,idle
5684966,-63,idle
5687956,-64,idle
5690947,-64,idle
5693937,-63,idle
5696928,-64,idle
5699918,-62,idle
5702909,-65,idle
5705900,-68,idle
5708890,-63,idle
5711881,-66,idle
5714671,-68,idle
5717662,-64,idle
5720652,-65,idle
5723442,-65,idle
5726233,-68,idle
5729223,-66,idle
5732214,-63,idle
5735204,-68,idle
5738195,-64,idle
5741185,-65,idle
5744176,-70,idle
5747166,-72,idle
5749957,-66,idle
5752947,-68,idle
5755938,-68,idle
5758928,-70,idle
5761919,-69,idle
5764709,-69,idle
5767700,-68,idle
5770690,-66,idle
5773681,-68,idle
5776671,-70,idle
5779662,-67,idle
5782452,-69,idle
5785443,-68,idle
5788233,-70,idle
5791223,-68,idle
5794214,-69,idle
5797204,-69,idle
5800195,-70,idle
5803186,-74,idle
5806176,-70,idle
5809167,-67,idle
5812157,-70,idle
5815148,-71,idle
5818138,-70,idle
5821129,-64,idle
5824119,-63,idle
5827110,-64,idle
5830101,-66,idle
5833091,-70,idle
5835882,-71,idle
5838872,-66,idle
5841863,-68,idle
5844653,-74,idle
5847643,-74,idle
5850634,-71,idle
5853625,-67,idle
5856615,-74,idle
5859606,-75,idle
5862597,-76,idle
5865587,-75,idle
5868578,-82,idle
5871569,-73,idle
5874560,-65,idle
5877550,-67,idle
5880541,-72,idle
5883531,-66,idle
5886522,-66,idle
5889512,-66,idle
5892503,-66,idle
5895494,-64,idle
5898484,-65,idle
5901475,-65,idle
5904466,-73,idle
5907456,-66,idle
5910447,-66,idle
5913437,-73,idle
5916428,-71,idle
5919418,-70,idle
5922409,-68,idle
5925399,-75,idle
5928390,-67,idle
5931381,-71,idle
5934371,-67,idle
5937362,-69,idle
5940353,-67,idle
5943343,-67,idle
5946334,-68,idle
5949324,-59,idle
5952315,-59,idle
5955105,-68,idle
5958096,-73,idle
5961087,-70,idle
5964077,-64,idle
5967068,-68,idle
5970058,-69,idle
5973049,-77,idle
5976040,-64,idle
5979030,-70,idle
5982021,-68,idle
5985012,-65,idle
5988002,-71,idle
5990993,-70,idle
5993984,-65,idle
5996974,-66,idle
5999965,-65,idle
6002955,-64,idle
6005946,-67,idle
6008937,-67,idle
6011927,-66,idle
6014918,-68,idle
6017909,-64,idle
6020899,-63,idle
6023890,-65,idle
6026881,-64,idle
6029871,-64,idle
6032862,-64,idle
6035852,-64,idle
6038843,-66,idle
6041834,-66,idle
6044824,-65,idle
6047815,-65,idle
6050806,-66,idle
6053796,-63,idle
6056787,-65,idle
6059777,-65,idle
6062768,-64,idle
6065759,-67,idle
6068749,-67,idle
6071740,-66,idle
6074731,-63,idle
6077721,-67,idle
6080712,-64,idle
6083703,-68,idle
6086694,-64,idle
6089684,-65,idle
6092675,-68,idle
6095665,-65,idle
6098656,-70,idle
6101647,-66,idle
6104638,-65,idle
6107628,-66,idle
6110619,-67,idle
6113610,-65,idle
6116600,-65,idle
6119591,-66,idle
6122582,-64,idle
6125573,-67,idle
6128563,-66,idle
6131554,-67,idle
6134545,-69,idle
6137535,-69,idle
6140526,-71,idle
6143517,-67,idle
6146507,-70,idle
6149498,-73,idle
6152489,-72,idle
6155479,-72,idle
6158470,-67,idle
6161461,-64,idle
6164451,-72,idle
6167442,-69,idle
6170433,-70,idle
6173423,-71,idle
6176414,-69,idle
6179405,-68,idle
6182395,-71,idle
6185386,-67,idle
6188376,-69,idle
6191367,-72,idle
6194358,-71,idle
6197348,-69,idle
6200339,-67,idle
6203329,-66,idle
6206320,-78,idle
6209311,-66,idle
6212301,-69,idle
6215292,-76,idle
6218283,-70,idle
6221273,-67,idle
6224264,-76,idle
6227254,-66,idle
6230245,-74,idle
6233236,-70,idle
6236226,-67,idle
6239217,-69,idle
6242208,-77,idle
6245198,-70,idle
6248189,-75,idle
6251180,-69,idle
6254170,-69,idle
6257161,-69,idle
6260152,-68,idle
6263142,-68,idle
6266133,-71,idle
6269124,-72,idle
6272114,-78,idle
6275105,-77,idle
6278096,-75,idle
6281086,-70,idle
6284077,-74,idle
6287068,-74,idle
6290059,-73,idle
6293049,-74,idle
6296040,-73,idle
6299031,-74,idle
6302022,-76,idle
6305012,-74,idle
6308003,-67,idle
6310994,-66,idle
6313984,-69,idle
6316975,-65,idle
6319966,-73,idle
6322956,-70,idle
6325947,-70,idle
6328938,-67,idle
6331928,-69,idle
6334919,-72,idle
6337910,-72,idle
6340900,-69,idle
6343891,-70,idle
6346882,-74,idle
6349872,-71,idle
6352863,-73,idle
6355854,-66,idle
6358844,-69,idle
6361835,-72,idle
6364826,-72,idle
6367816,-72,idle
6370807,-72,idle
6373798,-67,idle
6376788,-68,idle
6379779,-70,idle
6382770,-75,idle
6385760,-73,idle
6388751,-69,idle
6391741,-72,idle
6394732,-68,idle
6397723,-67,idle
6400714,-67,idle
6403704,-69,idle
6406695,-70,idle
6409686,-73,idle
6412676,-68,idle
6415667,-72,idle
6418658,-76,idle
6421649,-70,idle
6424639,-70,idle
6427630,-73,idle
6430621,-71,idle
6433612,-69,idle
6436602,-65,idle
6439593,-70,idle
6442584,-71,idle
6445575,-68,idle
6448565,-69,idle
6451556,-73,idle
6454547,-74,idle
6457537,-73,idle
6460528,-68,idle
6463519,-70,idle
6466510,-71,idle
6469500,-73,idle
6472491,-71,idle
